code,product_name,brands,main_category,country,sugars_100g,fat_100g,saturated_fat_100g,salt_100g,fiber_100g,proteins_100g,energy_kcal_100g,additives_count,has_labels,image_saine,nutriscore_grade,bad_nutrition,healthy_illusion
8001420011593,Basmati integrale,Gallo,plant-based-foods-and-beverages,italy,0.8,2.7,0.8,0.0,2.8,8.8,353.0,0,0,1,b,0,0
3329770075405,Yop Parfum vanille,Yoplait,beverages-and-beverages-preparations,france,10.4,0.8,0.5,0.12,1.9,3.0,66.0,0,1,1,d,1,1
6130837000509,Couscous,,plant-based-foods-and-beverages,france,3.0,2.0,0.3,0.01,1.9,12.0,354.0,0,0,1,a,0,0
3250390011958,YAOURT AU LAIT ENTIER POT VERRE 4X125G - nature,Pâturages,dairies,france,4.0,3.4,2.4,0.1,0.0,3.7,63.8,0,1,1,b,0,0
3368954600231,Ravioles du Dauphiné,"U Saveurs,U de nos Régions,U",plant-based-foods-and-beverages,france,2.2,11.0,7.1,1.6,2.4,14.0,282.0,0,1,1,d,1,1
20403034,,"Lidl, Nixe",seafood,france,0.27027027027027,6.3,1.1,1.15,1.9,26.5,162.0,0,1,0,b,0,0
3083681163834,Lentilles Jus Nature 1/2,Bonduelle,plant-based-foods-and-beverages,france,0.5,0.5,0.1,0.52,4.0,6.5,95.0,1,1,1,a,0,0
3256223028346,Jus à base de concentré d'ananas 1l,U,beverages-and-beverages-preparations,france,10.6,0.1,0.0,0.0,0.0,0.4,49.0,0,1,1,c,0,0
8428532121437,Coconut nature,"Ecomil,Laboratorios Almond",beverages-and-beverages-preparations,belgium,0.15,2.7,2.5,0.1,0.0,0.2,33.1,0,1,1,c,0,0
2966626437243,Couscous,Tipiak,plant-based-foods-and-beverages,france,3.4,1.8,0.3,0.0,3.7,13.0,361.0,0,1,1,a,0,0
3250392561024,Lentilles vertes BIO - 400g,Saint eloi,plant-based-foods-and-beverages,france,0.5,0.5,0.1,0.67,3.5,5.6,73.9,0,1,1,b,0,0
0052159005207,Vanilla Lowfat Yogurt,Stonyfield Organic,dairies,united-states,9.41176470588235,0.882352941176471,0.588235294117647,0.139705882352941,0.0,3.52941176470588,70.5882352941177,1,1,1,b,0,0
3256220360425,Jus de tomate de Provence salé à 5g/l pet 1L,U,beverages-and-beverages-preparations,france,4.2,0.5,0.1,0.5,0.6,0.9,26.0,0,1,1,b,0,0
5425038430387,Color loops,Turtle,plant-based-foods-and-beverages,belgium,19.8,1.6,0.1,0.7,6.9,3.6,361.0,0,1,1,c,0,0
4056489257318,Bonito del norte,Nixe,seafood,france,0.0,10.4,1.9,0.93,1.9,28.1,206.0,0,1,0,a,0,0
6111243591072,Yaourt brassé aux fruits,,dairies,morocco,0.0,0.0,0.0,0.0,1.9,3.2,113.11,0,0,1,a,0,0
3564700798751,Riz Sushi,"Marque Repère, Tables du Monde",plant-based-foods-and-beverages,france,0.2,1.0,0.3,0.0,1.0,6.4,350.6,0,0,1,b,0,0
3564700769058,Farfalles,"Marque Repère, Turini",plant-based-foods-and-beverages,france,2.0,2.0,0.4,0.02,2.0,12.0,358.0,0,1,1,a,0,0
4067796002126,"Băutură de ovăz, fără gluten",DmBio,beverages-and-beverages-preparations,germany,4.5,0.8,0.1,0.09,0.7,0.7,42.0,0,1,1,c,0,0
3564706604360,Muesli Chocolat-Noisette,Grainéa,plant-based-foods-and-beverages,france,3.0,17.0,3.2,0.01,11.0,9.9,335.0,3,1,1,a,0,0
8435185101112,Orangina et sa Pulpe !,"Orangina, Orangina Schweppes, Schweppes",plant-based-foods-and-beverages,france,9.8,0.0,0.0,0.01,1.9,0.1,42.0,2,0,1,d,1,1
3266191103686,Haricots rouges,La vie claire,plant-based-foods-and-beverages,france,0.4,0.9,0.2,0.35,6.6,7.2,78.0,0,1,1,a,0,0
3580282816201,Lait de coco,CHAO'AN,plant-based-foods-and-beverages,france,2.4,18.0,15.0,0.1,0.0,1.7,162.0,4,1,1,e,1,1
3019089045649,"Et hop! Dans mes salades, effiloché de thon citron vert & basilic",Petit Navire,seafood,france,0.1,7.6,1.0,1.0,0.1,25.0,170.0,1,0,0,a,0,0
4066447680300,Langkorn Reis,"DmBio, Bio dm",plant-based-foods-and-beverages,germany,1.9,2.3,0.7,0.03,4.0,7.8,363.0,0,1,1,b,0,0
3045320008401,Confiture fraise -30% de sucres,andros,plant-based-foods-and-beverages,france,40.0,0.1,0.0,0.0,1.1,0.3,164.0,1,1,1,d,1,1
3017800506257,Haricots Rouges,D'aucy,plant-based-foods-and-beverages,france,0.5,0.7,0.1,0.53,6.5,7.2,96.0,1,1,1,b,0,0
8011033006008,Couscous,Bacchini,plant-based-foods-and-beverages,france,2.3,1.9,0.4,0.0,4.2,12.0,354.0,0,1,1,a,0,0
3229820803449,Galettes riz chocolat noir,BJORG,plant-based-foods-and-beverages,france,26.6666666666667,23.1111111111111,13.3333333333333,0.0,5.33333333333333,6.22222222222222,488.888888888889,0,1,1,e,1,1
4056489903703,Chickpeas,Freshona,plant-based-foods-and-beverages,united-kingdom,0.5,2.4,0.3,0.02,5.6,6.4,125.0,1,1,1,a,0,0
20703769,Black beans in brine,El Tequito,plant-based-foods-and-beverages,czech-republic,0.5,1.0,0.1,0.64,7.1,7.6,106.0,0,1,1,a,0,0
8017596079664,Bevanda all'avena,"Eurospin, Fior di Natura",plant-based-foods-and-beverages,france,7.7,1.4,0.3,0.1,0.8,0.4,53.0,0,1,1,e,1,1
8410069018687,Napolitana,Gallo,condiments,morocco,2.3,6.1,0.6,1.5,1.6,1.6,95.0,1,1,0,c,0,0
8410261657820,Don Simón Néctar De Mango,Don simon,beverages-and-beverages-preparations,france,12.8,0.0,0.0,0.0,0.0,0.1,52.0,0,0,1,e,1,1
3229820799261,Crème de coco légère,Bjorg,plant-based-foods-and-beverages,france,1.6,17.0,16.0,0.08,1.1,1.3,184.0,3,1,1,e,1,1
8712423028272,Couscous mediterranee,Knorr,plant-based-foods-and-beverages,france,4.4,3.7,1.0,0.31,1.9,3.7,123.0,0,1,1,b,0,0
6111126003616,Les plaisirs de chergui,Chergui,dairies,morocco,14.0,3.5,3.04,0.26,1.9,3.28,107.0,0,1,1,c,0,0
3038350208613,Panzani spaghetti plat 500g,Panzani,plant-based-foods-and-beverages,france,3.7,2.0,0.35,0.0,3.6,12.0,361.0,0,1,1,a,0,0
