code,product_name,brands,main_category,country,sugars_100g,fat_100g,saturated_fat_100g,salt_100g,fiber_100g,proteins_100g,energy_kcal_100g,additives_count,has_labels,image_saine,bad_nutrition,healthy_illusion
3596710439515,Boisson aux jus de fruits - tropical - à l'eau de source - Goût Tropical,Auchan,beverages-and-beverages-preparations,france,5.5,0.5,0.1,0.03,0.5,0.5,24.0,3,1,0,0,0
3033491432989,,DanoneDanette,dairies,france,14.4,3.0,2.0,0.12,4.3,3.0,107.0,2,1,0,0,0
4088600247519,Wheat Bisks,Harvest Morn,plant-based-foods-and-beverages,ireland,4.4,2.0,0.6,0.28,10.0,12.0,358.0,0,1,1,0,0
4056489238669,Orangensaft,Solevita,beverages-and-beverages-preparations,belgium,9.1,0.2,0.1,0.01,4.3,0.7,44.0,0,1,0,0,0
8028129003629,,,plant-based-foods-and-beverages,italy,3.7,18.0,3.3,0.01,17.0,9.4,450.0,0,1,1,0,0
8423266500367,Muesli,GranoVita,plant-based-foods-and-beverages,spain,15.1,18.0,5.6,0.2,7.1,8.5,403.0,3,1,1,0,0
0745178360449,Barre bio Grenade Framboise,,snacks,france,19.9,7.0,1.9,0.05,14.0,17.1,335.0,0,1,0,0,0
4056489962151,Mozzarella light,Milbona,dairies,germany,0.9,16.0,11.3,0.9842525,0.2,29.0,272.0,0,1,0,0,0
3278692500383,Yaourt au lait entier saveur fraise,Malo,dairies,france,13.0,3.3,2.1,0.11,0.0,3.3,95.0,0,1,0,0,0
0815909020475,"Strawberry finest yoghurt, strawberry",,dairies,united-states,15.75,4.72,2.76,0.1275,0.0,5.51,126.0,3,1,0,0,0
4061464883680,Fruit Yoghurt Pog,Aldi,dairies,united-kingdom,9.4,1.6,1.1,0.1475,0.0,6.6,84.0,4,0,0,0,0
0858236003001,Organic protein bar,Hipsquare,snacks,united-states,27.08,20.83,14.58,0.155,4.2,25.0,458.0,2,1,0,1,0
4005528119865,Flakes mit Erdbeeren und Kirschen,"K Classic,Kaufland,Nordgetreide",plant-based-foods-and-beverages,germany,11.5,2.6,0.7,0.37,6.5,8.9,384.0,0,0,1,0,0
5099874318194,"Honey, Almond & Apricot Granola",Dunnes Stores,plant-based-foods-and-beverages,ireland,17.75,21.5,3.25,0.01,7.5,9.25,450.0,1,0,1,0,0
3256221952544,"Pur jus d'orange s/p.flash pasteurisé, refrigéré - pet 1,5l",U,beverages-and-beverages-preparations,france,8.7,0.5,0.1,0.01,0.5,0.7,40.0,0,1,0,0,0
4337256017503,Hafer Crunchy - (Müsli),REWE Bio,plant-based-foods-and-beverages,france,16.0,12.0,2.0,0.01,8.1,10.0,428.0,0,1,1,0,0
5035251002355,Fat Free Greek Yoghurt,Lancashire Farm,dairies,france,7.7,0.5,0.1,0.1875,0.5,5.9,62.0,0,0,0,0,0
0883366000279,Granola aphrodisia,La fourmi,plant-based-foods-and-beverages,canada,16.0,17.0,4.0,0.2,9.0,12.0,491.0,1,1,1,0,0
3800205517955,Muesli Bar,,snacks,spain,28.01,13.06,6.04,2.86,4.3,4.06,426.0,0,0,0,1,0
8437016898123,,La New Yorkina,plant-based-foods-and-beverages,spain,2.4,35.6,24.95,0.1675,11.0,12.3,533.0,1,1,1,1,1
5010251750611,Mighty malties,Morrisons,plant-based-foods-and-beverages,united-kingdom,11.0,1.8,0.3,0.26875,10.0,10.0,365.0,0,1,1,0,0
7624841883665,Bio Granola Red Berries à l'avoine,"Naturaplan,Coop",plant-based-foods-and-beverages,switzerland,15.0,17.0,2.0,0.0,6.0,9.0,449.0,0,1,1,0,0
8718215090328,Katharos - Yaourt à  la grecque nature,Yante,dairies,belgium,4.2,10.0,6.5,0.1,4.3,3.5,120.0,0,1,0,0,0
3850108072778,B+C+E osvježavajuće piče,"Vindi,Vindija",plant-based-foods-and-beverages,croatia,7.0,0.1,0.01,0.01,4.3,0.1,28.0,0,0,1,0,0
6111032008705,Dan up,danone,dairies,morocco,12.0,2.46153846153846,1.61538461538462,0.153846153846154,4.3,2.76923076923077,83.0769230769231,4,0,0,0,0
3494690009349,Barres de céréales,,snacks,france,30.0,6.7,0.7,0.35,4.3,5.8,380.0,0,0,0,1,0
