sugars_100g,fat_100g,saturated_fat_100g,salt_100g,fiber_100g,proteins_100g,energy_kcal_100g,additives_count,sugar_energy_ratio,sat_fat_ratio,salt_sugar_interaction,nutrition_risk_score,main_category,country,has_labels,image_saine,bad_nutrition
0.0,0.5,0.2,1.0,1.9,22.0,93.0,0.0,0.0,0.3999992000016,0.0,9.229999999999999,seafood,france,1,0,0
14.9,15.2,2.0,0.04,6.1,17.2,449.0,1.0,0.03318485515994465,0.13157893871191195,0.596,15.69,plant-based-foods-and-beverages,france,1,1,0
2.3,0.0,0.0,0.06,0.0,0.04,14.0,0.0,0.16428570255102123,0.0,0.13799999999999998,3.04,beverages-and-beverages-preparations,austria,1,1,0
0.5,2.7,0.3,0.41,5.5,6.7,122.0,0.0,0.0040983606221445855,0.11111106995886295,0.205,0.6199999999999992,plant-based-foods-and-beverages,france,1,1,0
21.0,7.5,0.5,0.0,7.0,6.0,374.0,0.0,0.05614973247018788,0.06666665777777896,0.0,18.240000000000002,snacks,czech-republic,1,1,0
3.4,3.2,2.2,0.1,0.0,3.7,70.0,0.0,0.04857142787755103,0.6874997851563172,0.34,7.3,dairies,france,0,1,0
4.6,1.2,0.3,0.14,1.9,0.4,38.0,0.0,0.12105262839335189,0.2499997916668403,0.644,4.779999999999999,beverages-and-beverages-preparations,portugal,1,1,0
2.8,0.2,0.1,0.02,1.9,1.2,25.0,0.0,0.11199999552000017,0.49999750001249993,0.055999999999999994,1.4500000000000002,plant-based-foods-and-beverages,belgium,1,1,0
2.86666666666667,6.13333333333333,3.66666666666667,0.065,0.333333333333333,2.33333333333333,80.0,0.0,0.035833332885416715,0.5978259894848938,0.18633333333333355,7.6500000000000075,dairies,united-kingdom,0,1,0
0.3,0.9,0.3,0.01,1.9,7.3,349.0,0.0,0.0008595988514051608,0.33333296296337445,0.003,2.2900000000000005,plant-based-foods-and-beverages,germany,1,1,0
0.3,0.8,0.2,0.015,1.5,7.3,355.0,0.0,0.0008450704201547312,0.24999968750039062,0.0045,2.7,plant-based-foods-and-beverages,france,1,1,0
4.3,0.1,0.06,0.1,0.0,3.7,32.9,0.0,0.13069908417328013,0.5999940000599994,0.43,5.688999999999999,dairies,bulgaria,0,1,0
6.7,1.0,0.6,0.16,0.0,4.3,53.0,0.0,0.12641509195443223,0.5999994000006,1.072,9.43,dairies,france,1,1,0
15.7,2.5,1.7,0.1,0.4,2.7,103.0,2.0,0.15242718298614386,0.6799997280001088,1.57,19.03,dairies,france,1,1,0
0.5,3.9,0.5,0.38,2.4,2.3,141.0,3.0,0.0035460992656305016,0.12820509533202684,0.19,3.81,plant-based-foods-and-beverages,france,1,1,0
0.2,0.9,0.3,0.0,1.9,7.2,344.0,0.0,0.0005813953471471066,0.33333296296337445,0.0,2.04,plant-based-foods-and-beverages,germany,1,1,0
2.1,2.8,0.7,0.64,2.0,7.5,126.969696969697,2.0,0.016539379344677918,0.2499999107143176,1.344,8.469696969696969,plant-based-foods-and-beverages,france,1,1,0
7.0,31.0,6.0,0.0,9.0,0.0,20.0,0.0,0.34999998250000086,0.19354838085327802,0.0,4.199999999999999,beverages-and-beverages-preparations,peru,0,0,0
1.7,0.4,0.04,0.08,2.6,2.8,46.0,0.0,0.03695652093572781,0.099999750000625,0.136,0.3999999999999999,plant-based-foods-and-beverages,spain,1,1,0
0.5,11.0,4.0,0.8,0.5,23.0,194.0,0.0,0.0025773195743437134,0.3636363305785154,0.4,13.94,seafood,france,1,0,0
0.5,0.5,0.1,0.01,4.1,6.0,81.9789675,1.0,0.006099125289677194,0.1999996000008,0.005,-2.5802103249999995,plant-based-foods-and-beverages,united-kingdom,0,1,0
17.3333333333333,16.0,2.66666666666667,0.622222222222222,5.55555555555556,24.8888888888889,435.555555555556,0.0,0.03979591827597864,0.16666665625000085,10.785185185185162,25.022222222222194,plant-based-foods-and-beverages,ireland,1,1,1
4.0,5.6,0.5,1.0,1.9,9.9,112.0,3.0,0.03571428539540817,0.08928569834183958,4.0,13.72,seafood,france,1,0,0
0.0,91.1,12.7,0.0,0.0,0.0,820.0,0.0,0.0,0.1394072432556834,0.0,20.9,plant-based-foods-and-beverages,belgium,1,1,0
0.5,0.8,0.1,0.58,6.3,6.1,93.0,1.0,0.005376344028211355,0.12499984375019531,0.29,1.0299999999999994,plant-based-foods-and-beverages,france,1,1,0
33.3333333333333,4.16666666666667,0.0,1.52777777777778,5.55555555555556,8.33333333333333,388.888888888889,4.0,0.08571428549387744,0.0,50.925925925925945,46.944444444444436,plant-based-foods-and-beverages,united-states,1,1,1
25.0,3.0,0.6,0.44,8.7,8.7,378.0,0.0,0.06613756596259904,0.19999993333335553,11.0,25.080000000000002,plant-based-foods-and-beverages,france,1,1,0
9.6,2.3,1.5,0.11,0.5,5.4,82.0,2.0,0.11707316930398574,0.6521736294897263,1.056,12.52,dairies,france,1,1,0
0.5,18.0,1.4,1.0,0.5,19.0,241.0,0.0,0.0020746887880718308,0.07777777345679035,0.5,13.81,seafood,france,1,0,0
0.5,0.5,0.1,0.01,0.8,3.3,157.0,0.0,0.00318471335551138,0.1999996000008,0.005,1.47,plant-based-foods-and-beverages,france,1,1,0
0.0,0.577777777777778,0.177777777777778,0.0042777777777777,1.71111111111111,8.48888888888889,359.377777777778,0.0,0.0,0.307691775148851,0.0,2.103222222222225,plant-based-foods-and-beverages,india,0,1,0
11.0,3.3,2.3,0.12,1.9,3.3,88.0,5.0,0.12499999857954547,0.6969694857668225,1.3199999999999998,13.48,dairies,france,1,1,0
0.8,0.6,0.1,0.84,1.9,5.0,75.0,0.0,0.010666666524444448,0.16666638888935187,0.672,8.15,plant-based-foods-and-beverages,france,1,1,0
24.0,4.5,2.5,0.29,3.5,6.6,405.0,0.0,0.0592592591129401,0.5555554320987929,6.959999999999999,29.949999999999996,plant-based-foods-and-beverages,france,1,1,1
2.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.07407407133058995,0.0,0.0,2.27,plant-based-foods-and-beverages,france,1,1,0
0.0,10.0,1.5,1.5,1.9,24.0,186.0,0.0,0.0,0.1499999850000015,0.0,16.46,seafood,italy,0,0,0
24.0,23.0,9.5,0.67,6.0,8.3,484.384958572338,0.0,0.0495473683187635,0.41304346030245825,16.080000000000002,39.04384958572338,plant-based-foods-and-beverages,austria,1,1,1
1.7,20.0,12.0,0.89,1.5,5.9,392.6,0.0,0.004330106968084292,0.5999999700000015,1.513,25.026000000000003,plant-based-foods-and-beverages,france,1,1,1
7.6,2.9,0.3,0.1,0.5,1.2,80.0,0.0,0.09499999881250001,0.103448240190262,0.76,9.2,beverages-and-beverages-preparations,france,1,1,1
2.22222222222222,0.0,0.0,2.77777777777778,2.22222222222222,6.66666666666667,355.555555555556,4.0,0.006249999982421862,0.0,6.1728395061728385,31.333333333333357,plant-based-foods-and-beverages,united-states,1,1,1
0.2,0.9,0.2,0.0,1.1,7.4,352.0,0.0,0.0005681818165676653,0.22222197530891633,0.0,2.82,plant-based-foods-and-beverages,france,0,1,0
0.7,2.2,0.5,0.8,1.9,5.5,90.0,2.0,0.007777777691358025,0.22727262396698908,0.5599999999999999,8.2,plant-based-foods-and-beverages,germany,1,1,0
2.5,1.6,0.3,0.09,5.2,14.0,353.0,0.0,0.007082152954441493,0.18749988281257324,0.22499999999999998,2.0299999999999994,plant-based-foods-and-beverages,france,1,1,0
24.0,14.0,11.0,0.72,3.9,7.0,435.0,0.0,0.05517241366627031,0.7857142295918408,17.28,42.650000000000006,plant-based-foods-and-beverages,france,1,1,1
2.3,6.9,0.8,1.2,6.9,8.2,253.0,3.0,0.009090909054976644,0.11594201218231708,2.76,10.729999999999999,plant-based-foods-and-beverages,belgium,1,1,0
4.0,10.0,6.5,0.1,0.0,6.5,132.0,0.0,0.030303030073461894,0.6499999350000065,0.4,12.82,dairies,romania,0,1,0
2.2,1.5,0.39,0.0,3.8,11.9,350.0,0.0,0.006285714267755102,0.25999982666678223,0.0,2.29,plant-based-foods-and-beverages,france,1,1,0
10.8,1.6,1.0,0.1,1.9,2.9,71.0,0.0,0.152112673913906,0.6249996093752441,1.08,11.610000000000001,beverages-and-beverages-preparations,france,0,1,1
0.0,0.0,0.0,0.00725,1.9,0.0,0.0,0.0,0.0,0.0,0.0,-1.8275,beverages,france,1,0,0
4.3,21.0,14.0,0.75,0.2,5.4,225.0,2.0,0.01911111102617284,0.6666666349206364,3.2249999999999996,27.85,dairies,austria,1,1,1
1.9,2.1,0.4,0.0,6.2,11.0,347.0,0.0,0.005475504306987019,0.1904760997732858,0.0,-0.4300000000000006,plant-based-foods-and-beverages,france,1,1,0
22.8,0.1,0.05,1.8,0.0,1.2,102.0,0.0,0.2235294095732411,0.49999500004999947,41.04,41.870000000000005,condiments,turkey,0,0,1
0.7,0.6,0.1,0.02,3.9,5.7,145.0,0.0,0.0048275861736028535,0.16666638888935187,0.013999999999999999,-1.4499999999999997,plant-based-foods-and-beverages,france,1,1,0
0.64,1.28,0.0,0.0038,0.8,3.28,152.8,1.0,0.004188481647981141,0.0,0.002432,1.406,plant-based-foods-and-beverages,united-kingdom,0,1,0
9.2,0.0,0.0,0.0,0.7,0.5,45.0,0.0,0.20444443990123468,0.0,0.0,8.95,beverages-and-beverages-preparations,poland,0,1,0
3.4,8.9,5.8,0.09,0.0,3.0,106.0,0.0,0.03207547139551442,0.6516853200353573,0.306,11.16,dairies,france,1,1,0
29.0,1.5,0.3,0.05,7.0,9.0,376.0,0.0,0.07712765936934134,0.19999986666675557,1.4500000000000002,26.560000000000002,plant-based-foods-and-beverages,france,1,1,0
3.9,0.5,0.1,0.01,1.9,0.5,18.0,1.0,0.21666665462963028,0.1999996000008,0.039,2.3799999999999994,beverages-and-beverages-preparations,france,1,1,0
0.0,2.6,0.4,0.9825,3.5,4.0,84.0,1.0,0.0,0.15384609467457896,0.0,7.565000000000001,plant-based-foods-and-beverages,france,0,1,0
12.0,0.0,0.0,0.0,1.9,0.0,48.0,0.0,0.2499999947916668,0.0,0.0,10.58,beverages-and-beverages-preparations,france,1,1,1
