code,product_name,brands,main_category,country,sugars_100g,fat_100g,saturated_fat_100g,salt_100g,fiber_100g,proteins_100g,energy_kcal_100g,additives_count,has_labels,image_saine,nutriscore_grade,bad_nutrition,healthy_illusion
3564700459232,Thon Entier ALBACORE au Naturel,"Marque Repère, Pêche Océan",seafood,france,0.0,0.8,0.2,1.0,0.0,24.0,109.0,0,1,0,a,0,0
0856088003736,Nut Granola,Seven Sundays,plant-based-foods-and-beverages,united-states,3.99,15.0,5.01,0.0,3.99,5.01,566.666666666667,0,1,1,c,0,0
3155253020644,Kéfir,LACTEL,beverages,france,3.6,1.5,1.1,0.1,1.9,3.3,42.0,0,0,1,b,0,0
6111242926035,frut,MARRAKECH,beverages-and-beverages-preparations,morocco,6.9,0.0,0.0,0.00025,1.9,0.0,32.0,8,1,1,e,1,1
5400141243307,Couscous precuit,Boni,plant-based-foods-and-beverages,belgium,3.0,2.0,0.40000000596046,0.050000000745058,1.9,13.0,369.0,0,1,1,a,0,0
3250391249831,Bifidus vanille 12x125g,"Les Mousquetaires, Pâturages, Sélection Intermarché",dairies,france,12.0,2.9,2.0,0.09,0.0,3.5,92.1,0,1,1,c,0,0
8001310811050,Pesto alla calabrese poivrons et ricotta,Polli,condiments,france,5.9,27.0,4.4,2.8,1.5,3.8,301.0,1,0,0,e,1,0
8715700116631,Tomato Ketchup,Heinz,condiments,germany,22.8,0.1,0.1,1.77,1.9,1.2,102.0,0,1,0,d,1,0
3083681095326,Petits pois,Cassegrain,plant-based-foods-and-beverages,france,5.8,0.6,0.1,0.66,1.9,3.1,59.0,0,0,1,a,0,0
3329770087705,Brassé fraise,Yoplait,dairies,france,9.6,2.9,1.9,0.14,1.9,3.6,85.0,0,1,1,c,0,0
0082592660640,Mighty Mango Machine,Naked,beverages-and-beverages-preparations,united-states,11.25,0.0,0.0,0.015625,1.25,0.416666666666667,58.3333333333333,1,1,1,e,1,1
3596710548842,Muesli croustillant noix,Auchan,plant-based-foods-and-beverages,france,18.0,17.0,2.0,0.16,7.4,11.0,457.0,1,1,1,c,0,0
3350031686450,Pétales riz & blé complet aux copeaux de chocolat,Monoprix,plant-based-foods-and-beverages,france,21.0,7.9,4.2,0.7,5.8,7.9,414.0,2,1,1,d,1,1
4006599000731,Yume Nishiki Super Premium Short Grain Rice,Yume Nishiki - Original Japanese Variety,plant-based-foods-and-beverages,france,0.5,1.2,0.2,0.01,0.8,5.7,345.0,0,0,1,b,0,0
3451790397868,Elle & vire desserts lactes fruits cerise,Elle & Vire,dairies,belgium,12.8,2.3,1.6,0.1,0.0,2.2,76.0,2,1,1,c,0,0
3256222113036,Petits pois très fins - Boîte de 280g net égoutté,U,plant-based-foods-and-beverages,france,2.6,0.8,0.2,0.45,5.8,5.1,82.0,0,1,1,b,0,0
8032942610100,Couscous Medio,Martino,plant-based-foods-and-beverages,germany,2.0,1.6,0.2,0.01,3.3,13.0,360.0,0,1,1,a,0,0
20214456,Green Lentils,Campo Largo,plant-based-foods-and-beverages,finland,4.2,1.6,0.3,0.02,22.0,24.0,310.0,0,0,1,a,0,0
3256224701170,Brocolis sachet 900g,U,plant-based-foods-and-beverages,france,1.5,0.5,0.1,0.06,3.0,3.1,29.0,0,1,1,a,0,0
3073190101250,Spaghetti,Lustucru,plant-based-foods-and-beverages,france,6.0,3.5,0.8,0.064,3.0,13.5,372.0,0,1,1,a,0,0
8001440121265,Ceci Tetrapak Ca' Dell'orto,"Ca' dell'orto, Conserve Italia",plant-based-foods-and-beverages,italy,0.7,2.2,0.3,0.8,1.9,6.7,125.0,1,0,1,b,0,0
5038862234931,"Smoothie ananas, fraise & pomme",Innocent,plant-based-foods-and-beverages,france,11.0,0.5,0.1,0.01,1.0,0.6,52.0,0,1,1,e,1,1
3256222113593,Haricots verts extra-fins - Boîte de 220g net égoutté,U,plant-based-foods-and-beverages,france,0.5,0.5,0.1,0.55,3.4,1.3,20.0,0,1,1,a,0,0
4014500506838,Zottis Fruit Yoghurt,Zott,dairies,france,13.9,0.1,0.0,0.17,1.9,2.1,76.0,1,1,1,c,0,0
3564706539273,Pois chiches,"Marque Repère, Notre Jardin",plant-based-foods-and-beverages,france,0.8,2.0,0.3,0.7,6.0,6.0,123.0,0,1,1,a,0,0
3410280010762,Riz long,Top budget,plant-based-foods-and-beverages,france,0.5,0.7,0.1,0.01,1.4,7.3,349.0,0,1,1,b,0,0
0073472001202,Flourless Sprouted Grain Bread,Food For Life,plant-based-foods-and-beverages,spain,0.0,0.5,0.0,0.1875,3.0,4.0,235.294117647059,0,1,1,b,0,0
4056489509943,,"Vemondo,Lidl",beverages-and-beverages-preparations,ireland,1.0,3.8,0.5,0.000625,0.0,6.8,73.0,2,1,1,b,0,0
4056489565673,Cous Cous,Lidl,plant-based-foods-and-beverages,united-kingdom,2.1,1.8,0.4,0.0,4.2,12.0,349.0,0,0,1,a,0,0
