model,strategy,mean_f1,std_f1
XGBoost,baseline,0.8785399110062955,0.02433826362678878
RandomForest,smote,0.8638450442438856,0.02031720576104712
RandomForest,smote_tomek,0.8625268565721539,0.020596378734276315
XGBoost,smote_tomek,0.8623892375465447,0.024275627360088033
XGBoost,smote,0.8611771841673818,0.01923569694764983
RandomForest,baseline,0.8541842173447621,0.025623430120468915
RandomForest,undersample,0.8186471199279529,0.01978795434001344
DecisionTree,smote_tomek,0.8154845118611129,0.019727463627542484
DecisionTree,smote,0.8142961035415874,0.020615618393493303
DecisionTree,baseline,0.8138518437696438,0.032927753100845066
XGBoost,undersample,0.8132046651853813,0.016182032630656186
DecisionTree,undersample,0.7756797951029109,0.024697030640698215
LogisticRegression,smote,0.7008012760153176,0.020883805533392995
LogisticRegression,smote_tomek,0.7003156956850862,0.02162847286865557
LogisticRegression,baseline,0.6952220784572967,0.01905932359158788
LogisticRegression,undersample,0.6805934834629573,0.01564989972844189
