threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,business_cost
0.1,0.9519,0.8032,0.9602,0.8747,0.9917,0.9684,2365,124,21,506,334
0.11,0.9526,0.8087,0.9545,0.8755,0.9917,0.9684,2370,119,24,503,359
0.12,0.9536,0.8126,0.9545,0.8778,0.9917,0.9684,2373,116,24,503,356
0.13,0.9549,0.8179,0.9545,0.8809,0.9917,0.9684,2377,112,24,503,352
0.14,0.9556,0.8206,0.9545,0.8825,0.9917,0.9684,2379,110,24,503,350
0.15,0.9566,0.8257,0.9526,0.8846,0.9917,0.9684,2383,106,25,502,356
0.16,0.9572,0.8306,0.9488,0.8857,0.9917,0.9684,2387,102,27,500,372
0.17,0.9586,0.8361,0.9488,0.8889,0.9917,0.9684,2391,98,27,500,368
0.18,0.9586,0.8361,0.9488,0.8889,0.9917,0.9684,2391,98,27,500,368
0.19,0.9586,0.8372,0.9469,0.8887,0.9917,0.9684,2392,97,28,499,377
0.2,0.9589,0.8387,0.9469,0.8895,0.9917,0.9684,2393,96,28,499,376
0.21,0.9602,0.8455,0.945,0.8925,0.9917,0.9684,2398,91,29,498,381
0.22,0.9602,0.8455,0.945,0.8925,0.9917,0.9684,2398,91,29,498,381
0.23,0.9609,0.8484,0.945,0.8941,0.9917,0.9684,2400,89,29,498,379
0.24,0.9612,0.851,0.9431,0.8947,0.9917,0.9684,2402,87,30,497,387
0.25,0.9615,0.8525,0.9431,0.8955,0.9917,0.9684,2403,86,30,497,386
0.26,0.9612,0.8522,0.9412,0.8945,0.9917,0.9684,2403,86,31,496,396
0.27,0.9619,0.8552,0.9412,0.8961,0.9917,0.9684,2405,84,31,496,394
0.28,0.9619,0.8564,0.9393,0.8959,0.9917,0.9684,2406,83,32,495,403
0.29,0.9629,0.8609,0.9393,0.8984,0.9917,0.9684,2409,80,32,495,400
0.3,0.9622,0.8604,0.9355,0.8964,0.9917,0.9684,2409,80,34,493,420
0.31,0.9632,0.8649,0.9355,0.8988,0.9917,0.9684,2412,77,34,493,417
0.32,0.9632,0.8662,0.9336,0.8986,0.9917,0.9684,2413,76,35,492,426
