nom,is_perceived_healthy,_nutriscore_grade,nutriscore_num,healthy_illusion
Muesli croustillant au miel,1,d,4,1
Muesli fruits & noix Bio,1,b,2,0
Muesli chocolat caramel,1,e,5,1
Muesli 5 céréales nature,1,a,1,0
Muesli croustillant coco sucré,1,d,4,1
Muesli granola myrtilles,1,c,3,0
Muesli protéiné sport,1,b,2,0
Muesli pomme cannelle raisins,1,d,4,1
Muesli sans gluten quinoa,1,b,2,0
Muesli chocolat noir intense,1,e,5,1
Barre protéinée fitness vanille,1,e,5,1
Barre céréales miel amandes,1,c,3,0
Barre énergétique dattes figues,1,b,2,0
Barre sport chocolat caramel,1,d,4,1
Barre avoine fruits rouges,1,b,2,0
Barre protéines chocolat 30g,1,e,5,1
Barre granola noix miel,1,d,4,1
Barre céréales sans sucre ajouté,1,a,1,0
Barre énergie cacao bio,1,c,3,0
Barre fitness cookies & cream,1,e,5,1
Yaourt grec nature 0%,1,a,1,0
Yaourt bio vanille sucré,1,c,3,0
Yaourt fraise allégé,1,b,2,0
Yaourt protéiné framboise,1,b,2,0
Yaourt fruits du verger,1,c,3,0
Yaourt à boire fraise banane,1,d,4,1
Yaourt grec miel noix,1,c,3,0
Yaourt soja nature bio,1,b,2,0
Yaourt pêche abricot sucré,1,d,4,1
Yaourt nature entier fermier,1,a,1,0
Fromage Comté AOP,0,d,4,0
Camembert de Normandie,0,d,4,0
Coca-Cola Light,0,b,2,0
Chips nature sel,0,e,5,0
Beurre doux,0,e,5,0
Chocolat au lait Milka,0,e,5,0
Ketchup Heinz,0,c,3,0
Pizza Margherita surgelée,0,d,4,0
Saucisson sec,0,e,5,0
Complément alimentaire zinc,0,b,2,0
